feature,mean_coef,std_coef,cv_percent
X8_2,4.106498126097809,0.7400572070213703,18.02161316324262
X5,7.25973967760118,0.7154330800772641,9.854803501922744
X8_1,3.930624212217283,0.6694592000849657,17.031880021341493
X8_3,3.9947511570238317,0.6667612718017846,16.690933813550117
X8_4,3.635024277638664,0.6404141619843464,17.617878531039274
X8_5,3.985937847594363,0.6364922382771998,15.968443624921502
X1,-6.2060742307419385,0.6289484288985753,10.134400679328134
X4,-3.652751975282642,0.4592254736245541,12.572040939482093
X2,-3.4956722863868293,0.4592073419711777,13.136452861752229
X6_3,-0.10140184665487294,0.3503390060359862,345.4956897218472
X6_4,-0.05391273843751449,0.32954752213923033,611.26097060306
X6_5,-0.2412336146982075,0.2967193641479526,123.00083707205079
X3,0.8866005224746882,0.18510900249945395,20.878512655732564
X7,2.3207854735375544,0.12722403014385708,5.48193840144609
