to_hop,precision,recall,f1,accuracy
TF-IDF + MultinomialNB,0.9833333333333333,0.9007633587786259,0.9402390438247012,0.9854932301740812
Count + MultinomialNB,0.9523809523809523,0.916030534351145,0.933852140077821,0.9835589941972921
TF-IDF + BernoulliNB,1.0,0.8549618320610687,0.9218106995884774,0.9816247582205029
