dac_trung,he_so_w,odds_ratio
num__thalach,0.00514069809841942,1.0051539341580316
cat__thal_2,0.0031193834101633654,1.0031242537494283
cat__slope_2,0.0020164280632138827,1.0020184624214301
cat__cp_2,0.001974717675285275,1.0019766687142728
cat__restecg_1,0.0010139066584880646,1.0010144208356053
cat__cp_1,0.0009714258029215436,1.000971897789788
cat__cp_3,0.0004216266926728942,1.0004217155897002
cat__ca_4,8.183393629740074e-05,1.0000818372847853
cat__restecg_2,-0.00011569206762348269,0.9998843146244457
cat__fbs_1,-0.00019234054490917986,0.9998076779513475
cat__thal_1,-0.00020423978690757054,0.9997957810686179
cat__ca_3,-0.0007267190645623596,0.9992735449317828
cat__ca_1,-0.0010138157247377322,0.9989866980127977
cat__ca_2,-0.0010257548589844294,0.9989747710476985
num__trestbps,-0.0012756582635558825,0.9987251550425765
num__chol,-0.001433860773465326,0.9985671667137437
cat__sex_1,-0.0016544124350163132,0.9983469553508383
cat__slope_1,-0.0019039980691337136,0.9980978133853389
num__age,-0.0019684739814037045,0.9980334621928594
cat__exang_1,-0.0024953273837840058,0.9975077833576148
cat__thal_3,-0.0029060449588795027,0.9970981735024366
num__oldpeak,-0.004755287345715413,0.9952560011327467
