,RMSE_test,R2_test
Linear bậc 1 (baseline),4.502633229532188,0.9301046431962187
Poly bậc 4 + Ridge,4.164944148995131,0.9401955437683501
Random Forest,3.2292423653628064,0.9640485455444416
