model,pr_auc,roc_auc,train_time_s
RandomForest,0.7434397575504885,0.8939141779583526,10.9
GradientBoosting,0.8199219336815105,0.9247221694255788,17.3
AdaBoost,0.7872720923253314,0.9120862180687469,7.1
