,pr_auc,roc_auc,train_time_s
Dummy,0.23622627602727106,0.5,
DecisionTree,0.7230330599899888,0.8954477061269824,
GradientBoosting,0.8199219336815105,0.9247221694255788,17.21
HistGradientBoosting,0.8255142179452772,0.9273857130401019,6.01
